numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07590;20151213052000;1270.000000;0;0.000000;270.350000;263.870000;61;0;0;0;0;0;mq;0;0;0;0.000000;mq;269.250000;mq;277.450000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07608;20151213073000;1327.000000;0;0.000000;276.150000;274.040000;86;0;0;0;2;0;8000;0;0;2;0.000000;mq;274.150000;mq;280.150000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07931;20151213072000;1665.000000;90;2.000000;271.250000;258.470000;37;0;0;0;8;2;1750;5;0;2;0.000000;mq;271.250000;mq;285.650000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07939;20151213072200;1860.000000;0;0.000000;271.850000;264.190000;56;0;0;0;6;6;2250;0;7;0;0.000000;mq;270.450000;mq;277.150000;0.020000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07457;20151213061500;790.000000;0;0.000000;269.750000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;268.150000;mq;273.150000;mq;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07499;20151213070000;1025.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;0.080000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07856;20151213063000;1620.000000;0;0.000000;273.850000;259.390000;33;0;0;0;4;4;3500;0;3;2;0.000000;mq;273.250000;mq;278.650000;0.240000;0.000000;-99;768.000000;3100.000000;mq;268.650000;mq;0;0;0;mq;mq;mq;mq;2;130;4.000000;0.540000;0.000000;mq;7;4;mq;2;mq;
07876;20151213070000;1270.000000;0;0.000000;274.150000;263.820000;46;0;0;0;6;6;1750;0;3;/;0.000000;mq;271.150000;mq;282.150000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07898;20151213080000;1080.000000;0;0.000000;270.150000;mq;mq;0;0;0;7;0;8000;0;0;2;0.000000;268.150000;mq;280.650000;mq;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07962;20151213070000;680.000000;0;0.000000;269.250000;268.570000;95;0;0;0;0;0;mq;0;0;0;0.000000;mq;268.150000;mq;282.650000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07966;20151213074000;1000.000000;0;0.000000;276.050000;271.120000;70;0;0;0;0;0;mq;0;0;0;0.000000;mq;276.050000;mq;284.350000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
