numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07454;20160116083500;1535.000000;mq;mq;mq;mq;mq;73;7;0;mq;mq;450;/;/;/;10.700000;mq;mq;mq;mq;0.540000;0.150000;-99;768.000000;3115.000000;mq;268.050000;mq;0;mq;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;2;mq;mq;mq;
07589;20160116082000;1570.000000;360;5.000000;266.150000;mq;mq;0;7;3;8;8;450;6;/;/;0.200000;mq;264.150000;mq;269.150000;0.300000;0.010000;-99;768.000000;3101.000000;mq;270.550000;mq;0;0;1;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;7;mq;mq;mq;
07715;20160116083000;2125.000000;360;2.000000;264.250000;260.790000;76;0;0;0;3;3;450;2;0;0;0.000000;mq;259.850000;mq;271.550000;0.500000;0.000000;-99;768.000000;3100.000000;mq;265.450000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;2;3;mq;1;170.000000;
07926;20160116084500;2185.000000;360;20.000000;262.550000;258.140000;70;36;3;3;7;7;30;2;/;/;0.000000;mq;260.150000;mq;265.850000;0.900000;0.000000;-99;768.000000;3100.000000;mq;263.050000;mq;0;0;mq;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;3;3;mq;2;mq;
07972;20160116080000;1715.000000;360;2.000000;263.150000;261.540000;88;0;7;0;7;7;250;0;3;0;2.500000;mq;263.150000;mq;270.950000;0.470000;0.130000;-99;768.000000;3113.000000;mq;266.550000;mq;0;0;5;mq;mq;mq;mq;3;360;2.000000;0.430000;mq;mq;1;2;mq;0;120.000000;
07590;20160116070000;1270.000000;0;0.000000;265.950000;264.300000;88;70;0;0;8;8;250;5;/;/;0.100000;mq;264.550000;mq;271.450000;0.310000;0.010000;-99;768.000000;3101.000000;mq;268.850000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07696;20160116063000;1850.000000;360;10.000000;265.550000;254.840000;42;0;0;0;1;1;450;2;0;0;0.000000;mq;264.450000;mq;269.950000;0.250000;0.000000;-99;768.000000;3100.000000;mq;267.150000;mq;0;0;8;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;mq;mq;1;130.000000;
07878;20160116064500;1600.000000;90;2.000000;269.750000;mq;mq;73;7;0;9;9;mq;/;/;/;10.200000;mq;266.950000;mq;278.150000;0.220000;0.220000;-99;768.000000;3122.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07919;20160116074000;2130.000000;40;2.000000;262.150000;257.040000;66;0;0;0;7;7;800;0;3;0;0.000000;mq;260.750000;mq;267.550000;0.850000;0.000000;-99;768.000000;3100.000000;mq;260.250000;mq;0;0;5;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;3;2;mq;1;180.000000;
07929;20160116075400;1855.000000;0;0.000000;262.750000;253.080000;45;0;0;0;4;4;1750;2;0;0;0.000000;mq;258.950000;mq;268.450000;0.480000;0.000000;-99;768.000000;3100.000000;mq;260.150000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;3;2;mq;mq;mq;
