numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07454;20160105080000;1535.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07696;20160105094500;1850.000000;310;5.000000;271.850000;264.190000;56;0;7;0;6;4;1750;0;3;2;2.000000;mq;270.250000;mq;274.650000;0.150000;0.020000;-99;768.000000;3102.000000;mq;272.850000;mq;0;0;4;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;2;mq;1;180.000000;
07863;20160105092500;2000.000000;270;3.000000;269.550000;265.590000;74;0;7;3;7;7;800;0;7;/;2.300000;mq;268.350000;mq;271.050000;0.470000;0.040000;-99;768.000000;3104.000000;mq;269.150000;mq;0;0;4;mq;mq;mq;mq;4;mq;mq;mq;mq;mq;2;2;mq;1;130.000000;
07885;20160105093000;1610.000000;270;2.000000;274.350000;270.940000;78;0;7;0;3;3;1250;0;3;0;5.000000;mq;270.950000;mq;274.750000;0.350000;0.080000;-99;768.000000;3108.000000;mq;271.350000;mq;0;0;1;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;2;2;mq;mq;mq;
07969;20160105082400;1763.000000;360;1.000000;271.250000;270.980000;98;71;7;0;9;mq;mq;/;/;/;mq;mq;275.250000;mq;271.150000;0.150000;0.040000;-99;768.000000;3104.000000;mq;272.150000;mq;0;mq;9;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;2;mq;mq;mq;
07971;20160105070000;1384.000000;0;0.000000;273.050000;272.490000;96;70;7;6;8;8;250;5;/;/;13.700000;mq;273.050000;mq;277.250000;0.030000;0.030000;-99;768.000000;3103.000000;mq;273.150000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;3;mq;mq;mq;
07861;20160105090000;1635.000000;130;7.000000;272.150000;mq;mq;86;7;3;8;8;150;5;/;/;15.000000;mq;mq;mq;mq;0.300000;0.100000;-99;768.000000;3110.000000;mq;271.350000;mq;0;0;mq;mq;mq;mq;mq;1;270;20.000000;0.900000;mq;mq;9;2;mq;mq;mq;
07954;20160105065600;1107.000000;0;0.000000;274.750000;274.470000;98;60;6;4;8;8;80;6;/;/;8.000000;mq;274.650000;mq;279.050000;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07968;20160105073500;1569.000000;0;0.000000;272.450000;272.310000;99;73;7;7;9;9;mq;/;/;/;7.500000;mq;272.050000;mq;275.950000;0.020000;0.020000;-99;768.000000;3102.000000;mq;mq;mq;0;mq;0;mq;mq;mq;mq;1;0;0.000000;0.550000;0.100000;mq;2;2;mq;1;mq;
07495;20160105085500;1440.000000;360;2.000000;271.850000;271.010000;94;0;7;0;3;3;1250;0;3;0;9.900000;mq;271.650000;mq;278.950000;0.270000;0.090000;-99;768.000000;3109.000000;mq;272.450000;mq;0;4;0;mq;mq;mq;mq;2;330;5.000000;0.370000;0.110000;mq;2;2;mq;1;90.000000;
07886;20160105085500;1720.000000;130;2.000000;271.150000;270.880000;98;0;7;0;7;7;450;0;7;0;1.700000;mq;270.550000;mq;276.150000;0.250000;0.030000;-99;768.000000;3103.000000;mq;272.350000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;2;6;mq;1;200.000000;
07953;20160105083600;1800.000000;0;0.000000;269.450000;268.770000;95;0;7;0;8;8;150;5;/;/;12.500000;mq;269.450000;mq;273.950000;0.220000;0.140000;-99;768.000000;3114.000000;mq;271.950000;mq;0;0;0;mq;mq;mq;mq;1;0;0.000000;mq;0.150000;mq;9;2;mq;0;90.000000;
07936;20160105104100;2020.000000;0;0.000000;272.850000;271.260000;89;44;7;0;8;8;80;6;/;/;10.000000;mq;268.350000;mq;272.950000;0.200000;0.100000;-99;768.000000;3110.000000;mq;270.450000;mq;0;0;mq;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;2;mq;2;130.000000;
07470;20160105080000;1850.000000;220;3.000000;270.350000;mq;mq;44;7;4;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;0.750000;0.330000;-99;768.000000;3133.000000;mq;270.650000;mq;mq;mq;mq;mq;mq;mq;mq;4;220;9.000000;mq;0.240000;mq;0;0;0;mq;mq;
07598;20160105093700;2070.000000;270;2.000000;269.850000;259.320000;44;0;7;0;3;0;8000;0;0;2;2.000000;mq;271.950000;mq;279.650000;0.260000;0.030000;-99;768.000000;3103.000000;mq;269.850000;mq;0;2;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;2;mq;1;mq;
07891;20160105095000;1200.000000;0;0.000000;274.550000;273.540000;93;0;7;0;7;7;150;2;/;/;20.400000;mq;272.350000;mq;275.550000;0.600000;0.210000;-99;768.000000;3121.000000;mq;mq;mq;0;0;mq;mq;mq;mq;mq;3;0;0.000000;1.100000;0.300000;mq;9;1;mq;mq;mq;
07457;20160105061500;790.000000;0;0.000000;275.150000;mq;mq;0;7;6;8;3;800;6;3;2;7.000000;273.650000;mq;277.650000;mq;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07952;20160105091500;1840.000000;0;0.000000;270.850000;mq;mq;70;7;4;9;9;mq;/;/;/;mq;mq;mq;mq;mq;0.350000;0.100000;-99;768.000000;3110.000000;mq;271.750000;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;9;2;mq;0;90.000000;
07985;20160105103000;1420.000000;220;7.000000;278.750000;270.170000;54;0;6;0;7;1;150;2;0;2;mq;mq;271.850000;mq;277.450000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;0;0;0;mq;mq;
07499;20160105130000;1025.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;0.150000;0.000000;-50;750.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07881;20160105121000;2590.000000;0;0.000000;268.150000;259.330000;50;0;0;0;3;3;450;0;3;0;mq;mq;mq;mq;mq;0.820000;0.000000;-50;750.000000;3100.000000;mq;267.950000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;9;mq;1;100.000000;
07923;20160105130000;1895.000000;0;0.000000;273.250000;264.300000;51;0;0;0;1;1;450;0;1;2;mq;mq;mq;mq;mq;0.200000;0.000000;-50;750.000000;3100.000000;mq;270.750000;mq;0;0;1;mq;mq;mq;mq;3;220;5.000000;0.200000;0.000000;mq;2;3;mq;1;150.000000;
07959;20160105130000;1860.000000;0;0.000000;mq;mq;mq;0;7;0;4;4;30;2;0;0;mq;mq;mq;mq;mq;0.300000;0.010000;-50;750.000000;3101.000000;mq;273.050000;mq;0;2;0;mq;mq;mq;mq;1;0;0.000000;mq;0.010000;mq;1;7;mq;0;mq;
07968;20160105110800;1569.000000;0;0.000000;273.050000;270.350000;82;70;7;7;9;9;mq;/;/;/;mq;mq;mq;mq;mq;0.040000;0.020000;-50;750.000000;3102.000000;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;2;270;3.000000;0.600000;0.050000;mq;2;2;mq;1;mq;
07989;20160105080000;1670.000000;270;2.000000;274.250000;mq;mq;60;6;0;8;8;450;5;/;/;mq;mq;273.250000;mq;275.250000;0.010000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;0;0;0;mq;mq;
07457;20160105104000;790.000000;0;0.000000;276.650000;mq;mq;0;6;0;6;4;1250;2;3;0;mq;mq;mq;mq;mq;0.000000;0.000000;-50;750.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07489;20160105120000;970.000000;180;3.000000;278.150000;mq;mq;0;0;0;3;3;1250;2;3;2;mq;mq;mq;mq;mq;0.000000;0.000000;-50;750.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07590;20160105121500;1270.000000;0;0.000000;276.950000;267.740000;51;0;0;0;2;0;8000;0;0;2;mq;mq;mq;mq;mq;0.180000;0.000000;-50;750.000000;3100.000000;mq;272.250000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;0;0;0;mq;mq;
07608;20160105123000;1327.000000;0;0.000000;274.150000;274.010000;99;71;0;0;9;9;mq;/;/;/;mq;mq;mq;mq;mq;0.000000;0.000000;-50;750.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07876;20160105113000;1270.000000;0;0.000000;277.650000;mq;mq;0;7;0;7;7;450;0;3;/;mq;mq;mq;mq;mq;0.550000;0.020000;-50;750.000000;3102.000000;mq;273.050000;mq;0;0;mq;mq;mq;mq;mq;3;0;0.000000;mq;mq;mq;1;1;mq;mq;mq;
07885;20160105121000;1610.000000;270;2.000000;272.250000;268.550000;76;0;0;0;2;2;800;2;3;0;mq;mq;mq;mq;mq;0.350000;0.000000;-50;750.000000;3100.000000;mq;271.050000;mq;0;2;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;2;2;mq;mq;mq;
07887;20160105121500;1500.000000;270;2.000000;271.850000;269.810000;86;0;7;0;4;4;450;2;0;0;mq;mq;mq;mq;mq;0.500000;0.000000;-50;750.000000;3100.000000;mq;272.450000;mq;0;0;0;mq;mq;mq;mq;4;310;4.000000;0.700000;0.000000;mq;1;2;mq;0;120.000000;
07890;20160105121500;2200.000000;0;0.000000;269.050000;263.450000;65;0;0;0;1;1;150;5;0;0;mq;mq;mq;mq;mq;0.420000;0.000000;-50;750.000000;3100.000000;mq;266.250000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;2;2;mq;mq;mq;
07893;20160105113000;1780.000000;0;0.000000;269.850000;268.000000;87;0;7;0;3;3;450;2;0;0;mq;mq;mq;mq;mq;0.770000;0.010000;-50;750.000000;3101.000000;mq;267.650000;mq;0;3;0;mq;mq;mq;mq;4;310;3.000000;1.100000;0.210000;mq;9;2;mq;1;50.000000;
07896;20160105122000;1416.000000;0;0.000000;270.350000;268.940000;90;0;0;0;2;2;800;2;0;0;mq;mq;mq;mq;mq;0.730000;0.000000;-50;750.000000;3100.000000;mq;271.450000;mq;0;0;0;mq;mq;mq;mq;3;270;1.000000;mq;mq;mq;1;2;mq;1;60.000000;
07900;20160105115000;2040.000000;0;0.000000;270.450000;268.280000;85;0;7;3;7;7;450;5;/;/;mq;mq;mq;mq;mq;0.650000;0.020000;-50;750.000000;3102.000000;mq;270.050000;mq;0;3;mq;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;2;mq;1;80.000000;
07901;20160105121500;1870.000000;0;0.000000;272.450000;271.460000;93;0;4;0;6;2;150;2;3;0;mq;mq;mq;mq;mq;0.500000;0.000000;-50;750.000000;3100.000000;mq;272.550000;mq;0;2;mq;mq;mq;mq;mq;3;0;0.000000;1.100000;0.000000;mq;9;1;mq;1;100.000000;
07904;20160105115000;2080.000000;0;0.000000;268.850000;262.660000;62;0;7;0;3;3;1250;0;3;0;mq;mq;mq;mq;mq;0.690000;0.010000;-50;750.000000;3101.000000;mq;270.150000;mq;0;3;4;mq;mq;mq;mq;4;mq;mq;mq;mq;mq;1;2;mq;mq;mq;
07908;20160105124500;1970.000000;0;0.000000;271.150000;265.450000;65;0;7;0;4;4;450;0;3;0;mq;mq;mq;mq;mq;0.700000;0.030000;-50;750.000000;3103.000000;mq;270.550000;mq;0;3;0;mq;mq;mq;mq;4;220;8.000000;mq;mq;mq;1;1;mq;mq;mq;
07927;20160105122000;2100.000000;0;0.000000;269.850000;259.600000;45;0;0;0;2;1;30;5;3;2;mq;mq;mq;mq;mq;0.320000;0.000000;-50;750.000000;3100.000000;mq;267.450000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;3;3;mq;1;250.000000;
07929;20160105120000;1855.000000;0;0.000000;272.650000;263.500000;50;0;0;0;1;0;8000;0;0;2;mq;mq;mq;mq;mq;0.240000;0.000000;-50;750.000000;3100.000000;mq;270.650000;mq;0;0;0;mq;mq;mq;mq;2;0;0.000000;mq;mq;mq;1;1;mq;mq;mq;
07931;20160105113500;1665.000000;90;1.000000;275.350000;269.240000;64;0;0;0;5;1;1750;5;3;2;mq;mq;mq;mq;mq;0.270000;0.000000;-50;750.000000;3100.000000;mq;272.650000;mq;0;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;2;mq;mq;mq;
07942;20160105123000;1910.000000;0;1.000000;272.350000;261.320000;43;0;0;0;3;0;8000;0;0;2;mq;mq;mq;mq;mq;0.170000;0.000000;-50;750.000000;3100.000000;mq;270.850000;mq;0;0;0;mq;mq;mq;mq;2;310;3.000000;mq;mq;mq;3;2;mq;1;160.000000;
07952;20160105113000;1840.000000;0;0.000000;269.750000;mq;mq;0;7;4;4;4;450;5;3;0;mq;mq;mq;mq;mq;0.350000;0.020000;-50;750.000000;3102.000000;mq;271.650000;mq;0;0;0;mq;mq;mq;mq;2;270;5.000000;mq;mq;mq;9;2;mq;1;mq;
07980;20160105122000;2127.000000;0;0.000000;269.950000;269.540000;97;70;7;4;9;mq;mq;/;/;/;mq;mq;mq;mq;mq;0.050000;0.010000;-50;750.000000;3101.000000;mq;272.750000;mq;0;mq;mq;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;2;2;mq;1;mq;
07981;20160105120000;2100.000000;0;0.000000;mq;mq;mq;70;7;4;8;8;150;6;/;/;mq;mq;mq;mq;mq;0.260000;0.010000;-50;750.000000;3101.000000;mq;272.550000;mq;0;mq;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;2;2;mq;mq;mq;
07961;20160105123000;1745.000000;0;0.000000;270.550000;265.460000;68;0;7;0;6;6;1250;0;3;/;mq;mq;mq;mq;mq;0.270000;0.010000;-50;750.000000;3101.000000;mq;271.650000;mq;0;mq;mq;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;2;3;mq;2;mq;
07815;20160105130000;2350.000000;0;0.000000;269.150000;262.100000;58;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;0.800000;0.000000;-50;750.000000;3100.000000;mq;269.650000;mq;0;0;0;mq;mq;mq;mq;4;mq;mq;mq;mq;mq;1;3;mq;1;50.000000;
07856;20160105130000;1620.000000;0;0.000000;272.050000;267.090000;69;0;7;0;8;8;800;6;/;/;mq;mq;mq;mq;mq;0.550000;0.010000;-50;750.000000;3101.000000;mq;272.550000;mq;0;0;mq;mq;mq;mq;mq;4;90;12.000000;0.850000;0.010000;mq;1;2;mq;0;100.000000;
07878;20160105130000;1600.000000;0;0.000000;273.150000;mq;mq;0;0;0;4;3;800;2;4;0;mq;mq;mq;mq;mq;0.250000;0.000000;-50;750.000000;3100.000000;mq;272.950000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;9;3;mq;1;130.000000;
07888;20160105123000;1800.000000;0;0.000000;274.150000;266.580000;57;0;0;0;1;0;8000;0;0;2;mq;mq;mq;mq;mq;0.510000;0.000000;-50;750.000000;3100.000000;mq;272.450000;mq;0;2;0;mq;mq;mq;mq;4;220;2.000000;mq;mq;mq;1;9;mq;1;140.000000;
07895;20160105125000;1970.000000;0;0.000000;270.950000;265.060000;64;0;0;0;6;2;800;2;3;0;mq;mq;mq;mq;mq;0.730000;0.000000;-50;750.000000;3100.000000;mq;269.450000;mq;0;3;0;mq;mq;mq;mq;4;mq;mq;mq;mq;mq;1;1;mq;1;90.000000;
07902;20160105130000;2000.000000;180;2.000000;269.050000;266.750000;84;0;0;0;5;5;450;2;0;0;mq;mq;mq;mq;mq;0.730000;0.000000;-50;750.000000;3100.000000;mq;269.050000;mq;0;0;0;mq;mq;mq;mq;3;180;6.000000;mq;0.000000;mq;9;1;mq;1;120.000000;
07965;20160105075100;1460.000000;0;0.000000;272.950000;272.670000;98;71;7;6;9;9;mq;/;/;/;6.500000;mq;272.850000;mq;276.650000;0.010000;0.010000;-99;768.000000;3101.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;mq;mq;mq;0.100000;mq;0;0;0;mq;mq;
07965;20160105130700;1460.000000;0;0.000000;273.250000;271.030000;85;0;7;7;5;2;250;2;7;0;mq;mq;mq;mq;mq;0.020000;0.020000;-50;750.000000;3102.000000;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;1;mq;mq;mq;0.080000;mq;0;0;0;mq;mq;
07972;20160105125300;1715.000000;270;2.000000;271.150000;270.740000;97;73;7;3;9;9;mq;/;/;/;mq;mq;mq;mq;mq;0.310000;0.020000;-50;750.000000;3102.000000;mq;272.950000;mq;0;mq;4;mq;mq;mq;mq;3;270;2.000000;0.280000;0.060000;mq;2;2;mq;2;mq;
07927;20160105090000;2100.000000;270;4.000000;268.250000;260.590000;55;0;7;3;3;2;150;5;3;2;1.300000;mq;267.950000;mq;270.450000;0.320000;0.020000;-99;768.000000;3102.000000;mq;268.250000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;9;3;mq;1;240.000000;
07967;20160105100000;1590.000000;270;5.000000;mq;mq;mq;71;7;4;9;9;mq;/;/;/;mq;mq;mq;mq;mq;0.550000;0.210000;-99;768.000000;3121.000000;mq;270.750000;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.050000;mq;1;2;mq;1;140.000000;
07721;20160105131000;1747.000000;180;8.000000;271.350000;270.940000;97;0;7;0;7;7;250;5;/;/;mq;mq;mq;mq;mq;0.480000;0.020000;-50;750.000000;3102.000000;mq;272.850000;mq;0;0;3;mq;mq;mq;mq;3;130;5.000000;mq;mq;mq;2;2;mq;1;mq;
07921;20160105120600;1680.000000;0;0.000000;269.450000;265.490000;74;0;0;0;2;1;30;2;0;2;mq;mq;mq;mq;mq;0.420000;0.000000;-50;750.000000;3100.000000;mq;269.450000;mq;0;2;0;mq;mq;mq;mq;2;mq;mq;mq;0.000000;mq;1;1;mq;mq;mq;
07953;20160105134000;1800.000000;0;0.000000;mq;mq;mq;70;7;0;8;8;800;0;1;/;mq;mq;mq;mq;mq;0.230000;0.010000;-50;750.000000;3101.000000;mq;272.150000;mq;0;0;0;mq;mq;mq;mq;1;0;0.000000;mq;0.010000;mq;9;2;mq;1;110.000000;
07393;20160105090000;2196.000000;220;10.000000;266.150000;mq;mq;71;7;3;9;9;mq;/;/;/;mq;mq;mq;mq;mq;1.200000;0.300000;-99;768.000000;3130.000000;mq;268.250000;mq;0;mq;mq;mq;mq;mq;mq;4;220;4.000000;0.720000;0.200000;mq;3;2;mq;mq;mq;
07913;20160105130000;2320.000000;0;0.000000;264.850000;259.440000;65;0;0;0;2;2;800;0;3;0;mq;mq;mq;mq;mq;0.500000;0.000000;-50;750.000000;3100.000000;mq;263.550000;mq;0;0;0;mq;mq;mq;mq;4;mq;mq;mq;mq;mq;1;1;mq;mq;mq;
07940;20160105134500;1900.000000;0;0.000000;272.350000;261.320000;43;0;0;0;5;5;800;5;0;0;mq;mq;mq;mq;mq;0.320000;0.000000;-50;750.000000;3100.000000;mq;269.350000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;3;3;mq;1;96.000000;
07940;20160105080000;1900.000000;mq;mq;mq;mq;mq;mq;7;3;mq;mq;mq;/;/;/;1.000000;270.150000;mq;273.050000;mq;0.330000;0.010000;-99;768.000000;3101.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07567;20160105125500;2100.000000;180;2.000000;267.050000;264.000000;79;0;7;4;2;2;mq;2;0;0;mq;mq;mq;mq;mq;0.590000;0.010000;-50;750.000000;3101.000000;mq;267.250000;mq;0;2;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;2;mq;mq;mq;
07567;20160105093000;2100.000000;0;0.000000;268.650000;266.960000;88;70;7;4;9;9;mq;/;/;/;3.100000;mq;267.450000;mq;269.750000;0.590000;0.060000;-99;768.000000;3106.000000;mq;267.350000;mq;0;mq;mq;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;2;mq;mq;mq;
07870;20160105120000;1650.000000;0;0.000000;275.150000;270.060000;69;0;0;0;3;3;1250;0;3;0;mq;mq;mq;mq;mq;0.230000;0.000000;-50;750.000000;3100.000000;mq;272.750000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;2;2;mq;1;180.000000;
07889;20160105131500;1800.000000;0;0.000000;272.150000;263.280000;51;0;7;0;4;3;150;2;3;0;mq;mq;mq;mq;mq;0.410000;0.010000;-50;750.000000;3101.000000;mq;270.350000;mq;0;0;0;mq;mq;mq;mq;4;mq;mq;mq;mq;mq;1;1;mq;mq;mq;
07922;20160105130000;2300.000000;0;0.000000;268.650000;262.870000;64;0;0;0;3;3;30;5;3;0;mq;mq;mq;mq;mq;0.480000;0.000000;-50;750.000000;3100.000000;mq;268.550000;mq;0;3;0;mq;mq;mq;mq;4;0;0.000000;mq;mq;mq;2;3;mq;2;mq;
07939;20160105131800;1860.000000;0;0.000000;270.750000;261.740000;50;0;0;0;1;1;3500;0;3;0;mq;mq;mq;mq;mq;0.200000;0.000000;-50;750.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;1;mq;mq;mq;0.000000;mq;0;0;0;mq;mq;
