numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07489;20151201083000;970.000000;0;0.000000;280.150000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;mq;273.950000;mq;283.650000;0.020000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07815;20151201080000;2350.000000;0;0.000000;273.150000;252.820000;20;0;3;0;0;0;mq;0;0;0;0.000000;mq;271.150000;mq;276.150000;0.400000;0.000000;-99;768.000000;3100.000000;mq;267.450000;mq;0;0;1;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;3;3;mq;2;mq;
07893;20151201074500;1780.000000;0;0.000000;267.150000;265.780000;90;0;7;0;1;0;8000;0;0;2;0.200000;mq;266.750000;mq;272.850000;0.280000;0.010000;-99;768.000000;3101.000000;mq;266.850000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;9;4;mq;1;130.000000;
07888;20151201083000;1800.000000;0;0.000000;270.150000;267.020000;79;0;0;0;2;0;8000;0;0;2;0.000000;mq;269.550000;mq;278.750000;0.210000;0.000000;-99;768.000000;3100.000000;mq;268.550000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;8;2;mq;2;mq;
07918;20151201083000;2284.000000;90;2.000000;270.750000;257.350000;35;0;0;0;1;0;8000;0;0;2;0.000000;mq;264.950000;mq;274.550000;0.450000;0.000000;-99;768.000000;3100.000000;mq;264.550000;mq;0;0;1;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;3;3;mq;mq;mq;
07484;20151201064500;1018.000000;0;0.000000;273.550000;mq;mq;0;4;0;7;7;450;5;/;/;0.000000;mq;269.650000;mq;276.950000;0.160000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07876;20151201070000;1270.000000;0;0.000000;273.650000;270.930000;82;0;0;0;8;8;800;6;/;/;0.000000;mq;273.150000;mq;279.650000;0.240000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07457;20151201060500;790.000000;0;0.000000;275.650000;mq;mq;0;0;0;3;3;2250;0;3;0;0.200000;mq;274.350000;mq;279.650000;0.100000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07499;20151201080000;1025.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;0.160000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07590;20151201065000;1270.000000;0;0.000000;270.450000;268.740000;88;0;0;0;0;0;mq;0;0;0;0.000000;mq;269.350000;mq;276.150000;0.030000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
