numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07876;20160211063000;1270.000000;0;0.000000;264.750000;mq;mq;0;0;7;0;0;mq;0;0;0;5.000000;mq;mq;mq;mq;0.550000;0.120000;-99;768.000000;3112.000000;mq;271.450000;mq;0;mq;0;mq;mq;mq;mq;3;0;0.000000;mq;mq;mq;1;1;mq;mq;mq;
07891;20160211070000;1200.000000;0;0.000000;265.850000;264.200000;88;0;7;4;0;0;mq;0;0;0;6.300000;mq;265.850000;mq;270.550000;0.850000;0.120000;-99;768.000000;3112.000000;mq;271.750000;mq;0;mq;0;mq;mq;mq;mq;3;0;0.000000;1.900000;0.120000;mq;1;1;mq;mq;mq;
07894;20160211071000;1350.000000;230;2.000000;265.350000;261.860000;76;0;7;0;8;8;150;0;2;/;6.300000;mq;265.350000;mq;270.450000;0.490000;0.110000;-99;768.000000;3111.000000;mq;269.750000;mq;0;5;mq;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;1;mq;0;70.000000;
07895;20160211064500;1970.000000;0;0.000000;261.150000;259.000000;84;0;7;0;1;1;450;0;3;0;5.900000;mq;260.650000;mq;266.150000;1.450000;0.090000;-99;768.000000;3109.000000;mq;265.950000;mq;0;6;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;1;mq;0;80.000000;
07896;20160211073000;1416.000000;0;0.000000;264.150000;263.760000;97;0;7;0;0;0;mq;0;0;0;3.500000;mq;263.950000;mq;269.950000;0.820000;0.060000;-99;768.000000;3106.000000;mq;269.150000;mq;0;0;0;mq;mq;mq;mq;3;0;0.000000;mq;mq;mq;1;1;mq;0;133.000000;
07898;20160211072000;1080.000000;0;0.000000;264.450000;mq;mq;0;7;0;0;0;mq;0;0;0;4.300000;mq;264.250000;mq;273.050000;0.510000;0.080000;-99;768.000000;3108.000000;mq;270.250000;mq;0;mq;mq;mq;mq;mq;mq;4;mq;mq;mq;mq;mq;1;3;mq;0;mq;
07901;20160211070000;1870.000000;0;0.000000;262.550000;261.370000;91;0;7;0;1;0;8000;0;0;2;mq;mq;262.550000;mq;267.050000;1.570000;0.140000;-99;768.000000;3114.000000;mq;265.550000;mq;0;5;0;mq;mq;mq;mq;3;0;0.000000;mq;mq;mq;1;1;mq;0;85.000000;
07904;20160211070000;2080.000000;0;0.000000;258.350000;254.430000;72;0;0;0;0;0;mq;0;0;0;4.600000;mq;256.650000;mq;265.150000;1.280000;0.070000;-99;768.000000;3107.000000;mq;261.150000;mq;0;9;1;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;1;mq;1;60.000000;
07918;20160211065500;2284.000000;30;2.000000;258.650000;252.970000;62;0;7;3;0;0;mq;0;0;0;3.900000;mq;256.850000;mq;265.850000;1.550000;0.090000;-99;768.000000;3109.000000;mq;263.050000;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;2;mq;mq;mq;
07931;20160211065000;1665.000000;90;2.000000;262.850000;256.770000;61;0;0;0;0;0;mq;0;0;0;0.000000;mq;261.750000;mq;273.250000;0.350000;0.000000;-99;768.000000;3100.000000;mq;263.150000;mq;0;0;8;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;3;7;mq;mq;mq;
07945;20160211070000;1270.000000;0;0.000000;264.550000;261.080000;76;0;7;0;2;1;1250;2;0;2;0.800000;mq;264.550000;mq;276.650000;0.380000;0.020000;-99;768.000000;3102.000000;mq;266.050000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;0;0;0;mq;mq;
07954;20160211065700;1107.000000;0;0.000000;275.150000;274.580000;96;0;6;0;7;7;2250;0;3;/;2.000000;mq;272.450000;mq;279.250000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07966;20160211074000;1000.000000;0;0.000000;276.550000;276.260000;98;0;6;0;8;8;150;6;/;/;4.000000;mq;272.950000;mq;279.050000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07970;20160211074000;1789.000000;0;0.000000;272.750000;272.190000;96;0;7;0;6;2;2250;0;1;0;1.500000;mq;269.050000;mq;281.550000;0.320000;0.010000;-99;768.000000;3101.000000;mq;272.650000;mq;0;4;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;3;2;mq;mq;mq;
07971;20160211070000;1384.000000;0;0.000000;273.850000;269.750000;74;0;7;6;6;6;150;2;/;/;3.400000;mq;271.250000;mq;277.450000;0.150000;0.010000;-99;768.000000;3101.000000;mq;273.050000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;2;6;mq;mq;mq;
07580;20160211071500;1260.000000;0;0.000000;268.150000;265.710000;83;0;7;0;5;4;3500;0;3;2;3.000000;mq;268.050000;mq;277.450000;0.050000;0.050000;-99;768.000000;3105.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07499;20160211070000;1025.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;0.100000;0.030000;-99;768.000000;3103.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07897;20160211074000;1870.000000;0;0.000000;264.550000;mq;mq;0;7;0;1;0;8000;0;0;2;mq;mq;mq;mq;mq;1.750000;mq;mq;768.000000;mq;mq;260.150000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;8;1;mq;1;60.000000;
07870;20160211075000;1650.000000;0;0.000000;267.950000;265.360000;82;0;7;0;5;5;3500;0;3;0;1.300000;mq;263.550000;mq;269.150000;0.340000;0.020000;-99;768.000000;3102.000000;mq;269.150000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;9;3;mq;2;mq;
07458;20160211070000;1152.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;0.100000;0.030000;-99;768.000000;3103.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07721;20160211074500;1747.000000;90;3.000000;264.550000;263.760000;94;0;7;0;2;0;8000;0;0;2;7.600000;mq;263.050000;mq;266.950000;1.170000;0.120000;-99;768.000000;3112.000000;mq;264.750000;mq;0;mq;0;mq;mq;mq;mq;3;0;0.000000;1.270000;0.100000;mq;1;2;mq;1;mq;
07875;20160211081000;1860.000000;360;2.000000;262.350000;258.290000;72;0;7;0;5;5;3500;0;3;0;2.900000;mq;261.850000;mq;266.650000;1.400000;0.070000;-99;768.000000;3107.000000;mq;262.150000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;4;9;mq;0;60.000000;
07488;20160211083000;1260.000000;40;1.000000;269.350000;267.800000;89;0;0;7;8;8;3500;0;3;/;0.900000;mq;266.350000;mq;272.950000;0.150000;0.010000;-99;768.000000;3101.000000;mq;271.650000;mq;0;0;0;mq;mq;mq;mq;2;40;2.000000;0.400000;0.010000;mq;9;6;mq;2;mq;
07582;20160211083000;1350.000000;0;0.000000;268.150000;262.970000;67;0;0;7;7;7;2250;0;3;0;2.300000;mq;265.350000;mq;270.750000;0.350000;0.050000;-99;768.000000;3105.000000;mq;266.950000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;1;mq;1;110.000000;
07715;20160211082600;2125.000000;0;0.000000;262.950000;260.160000;80;0;3;0;0;0;mq;0;0;0;0.000000;mq;261.550000;mq;mq;0.700000;0.000000;-99;768.000000;3100.000000;mq;259.850000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;1;2;mq;2;mq;
07804;20160211083000;1526.000000;0;0.000000;mq;mq;mq;0;7;3;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;0.460000;0.030000;-99;768.000000;3103.000000;mq;mq;mq;mq;mq;1;mq;mq;mq;mq;3;0;0.000000;1.230000;0.050000;mq;0;0;0;mq;mq;
