numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07954;20151124065700;1107.000000;0;0.000000;267.550000;262.950000;70;0;0;0;1;0;8000;0;0;2;0.000000;mq;265.650000;mq;273.850000;0.070000;0.000000;-99;768.000000;3100.000000;mq;267.150000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;2;2;mq;1;110.000000;
07457;20151124062500;790.000000;0;0.000000;263.750000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;mq;263.650000;mq;269.950000;0.170000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07499;20151124080000;1025.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;0.030000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07608;20151124071500;1327.000000;0;0.000000;270.150000;267.190000;80;0;0;0;6;1;1250;0;3;2;0.000000;mq;265.150000;mq;275.150000;0.220000;0.000000;-99;768.000000;3100.000000;mq;271.850000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07729;20151124070000;636.000000;0;0.000000;265.450000;264.520000;93;0;0;0;0;0;mq;0;0;0;0.000000;mq;265.450000;mq;277.650000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07876;20151124070000;1270.000000;0;0.000000;265.150000;260.990000;72;0;0;0;0;0;mq;0;0;0;0.000000;mq;265.150000;mq;272.150000;0.150000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07893;20151124064500;1780.000000;0;0.000000;261.150000;259.570000;88;0;0;0;0;0;mq;0;0;0;0.000000;mq;260.550000;mq;264.650000;0.250000;0.000000;-99;768.000000;3100.000000;mq;266.450000;mq;0;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;8;3;mq;1;120.000000;
07895;20151124064500;1970.000000;0;0.000000;261.650000;257.270000;70;0;0;0;1;1;3500;0;4;0;0.000000;mq;258.850000;mq;265.650000;0.250000;0.000000;-99;768.000000;3100.000000;mq;267.950000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;1;mq;1;110.000000;
07898;20151124071500;1080.000000;0;0.000000;262.650000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;mq;262.150000;mq;272.650000;0.100000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07912;20151124070000;1707.000000;0;0.000000;259.850000;257.870000;85;0;0;0;0;0;mq;0;0;0;0.000000;mq;259.750000;mq;268.250000;0.050000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;0;0;1;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07962;20151124070000;680.000000;0;0.000000;267.550000;266.320000;91;0;0;0;0;0;mq;0;0;0;0.000000;mq;267.050000;mq;277.150000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07966;20151124074000;1000.000000;0;0.000000;269.950000;260.990000;50;0;0;0;0;0;mq;0;0;0;0.000000;mq;267.450000;mq;275.250000;0.050000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07975;20151124065000;1420.000000;0;0.000000;265.150000;260.640000;70;0;0;0;0;0;mq;0;0;0;0.000000;mq;265.150000;mq;mq;0.120000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07589;20151124082000;1570.000000;0;0.000000;267.150000;mq;mq;0;0;0;0;0;mq;0;0;0;0.000000;mq;265.050000;mq;271.150000;0.070000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07484;20151124064500;1018.000000;0;0.000000;260.150000;mq;mq;0;0;0;2;2;250;6;0;0;0.000000;mq;258.950000;mq;272.150000;0.090000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
