numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07590;20160126065500;1270.000000;0;0.000000;275.350000;269.660000;66;0;0;0;3;0;8000;0;0;2;0.000000;mq;270.750000;mq;281.650000;0.230000;0.000000;-99;768.000000;3100.000000;mq;271.450000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;0;0;0;mq;mq;
07599;20160126071000;1240.000000;180;2.000000;274.950000;268.230000;61;0;0;0;4;0;8000;0;0;7;0.000000;mq;274.850000;mq;284.350000;0.170000;0.000000;-99;768.000000;3100.000000;mq;272.250000;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;6;6;mq;mq;mq;
07608;20160126071500;1327.000000;0;0.000000;282.650000;275.730000;62;0;0;0;0;0;mq;0;0;0;0.000000;mq;280.150000;mq;285.150000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07696;20160126071500;1850.000000;360;3.000000;278.150000;267.770000;47;0;0;0;3;1;1250;0;3;2;0.000000;mq;275.450000;mq;283.550000;0.100000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07729;20160126070000;636.000000;mq;mq;273.350000;273.070000;98;0;0;0;0;0;mq;0;0;0;0.000000;272.150000;mq;293.250000;mq;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07900;20160126070500;2040.000000;180;2.000000;274.550000;266.490000;55;0;0;0;6;0;8000;0;0;9;0.000000;mq;274.150000;mq;280.350000;1.140000;0.000000;-99;768.000000;3100.000000;mq;265.850000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;6;3;mq;1;120.000000;
07912;20160126070000;1707.000000;0;0.000000;268.650000;266.040000;82;0;0;0;3;1;1250;0;3;2;0.000000;mq;267.750000;mq;276.450000;0.630000;0.000000;-99;768.000000;3100.000000;mq;269.650000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;2;3;mq;mq;mq;
07917;20160126080000;1281.000000;0;0.000000;271.150000;268.330000;81;0;0;0;1;0;8000;0;0;2;0.000000;mq;268.750000;mq;285.350000;0.060000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07919;20160126073500;2130.000000;0;0.000000;276.850000;259.090000;26;0;0;0;4;0;8000;0;0;2;0.000000;mq;272.950000;mq;282.650000;0.670000;0.000000;-99;768.000000;3100.000000;mq;270.750000;mq;0;0;0;mq;mq;mq;mq;3;mq;mq;mq;mq;mq;7;4;mq;mq;mq;
07931;20160126065000;1665.000000;90;1.000000;274.050000;265.300000;52;0;0;0;2;0;8000;0;0;2;0.000000;mq;273.150000;mq;284.050000;0.220000;0.000000;-99;768.000000;3100.000000;mq;268.250000;mq;0;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;7;6;mq;mq;mq;
07939;20160126071500;1860.000000;90;4.000000;272.650000;265.840000;60;0;0;0;8;0;8000;0;0;7;0.000000;mq;270.850000;mq;280.250000;0.400000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;0;0;0;mq;mq;
07962;20160126065400;680.000000;mq;mq;274.650000;273.940000;95;0;0;0;0;0;mq;0;0;0;0.000000;273.850000;mq;291.950000;mq;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07966;20160126073000;1000.000000;0;0.000000;mq;mq;mq;0;0;0;4;1;3500;0;3;2;0.000000;mq;mq;mq;mq;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07926;20160126080000;2185.000000;0;0.000000;276.350000;264.040000;40;0;0;0;8;0;8000;0;0;2;0.000000;mq;275.250000;mq;283.750000;0.800000;0.000000;-99;768.000000;3100.000000;mq;267.050000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;3;3;mq;mq;mq;
