numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07582;20151228073000;1350.000000;0;0.000000;277.850000;265.710000;41;0;0;0;0;0;mq;0;0;0;0.000000;mq;277.150000;mq;280.150000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07972;20151228073000;1715.000000;180;2.000000;280.150000;261.440000;25;0;0;0;6;3;1750;0;4;2;0.000000;mq;278.250000;mq;287.450000;0.180000;0.000000;-99;768.000000;3100.000000;mq;271.350000;mq;0;0;0;mq;mq;mq;mq;1;180;7.000000;0.130000;0.000000;mq;7;6;mq;mq;mq;
07974;20151228075500;1500.000000;180;2.000000;277.450000;264.700000;39;0;0;0;1;0;8000;0;0;2;0.000000;mq;275.850000;mq;283.050000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07458;20151228080000;1152.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;0.000000;mq;mq;mq;mq;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07721;20151228080000;1747.000000;130;4.000000;281.150000;256.040000;15;0;0;0;2;0;8000;0;0;2;0.000000;mq;280.150000;mq;284.350000;0.100000;0.000000;-99;768.000000;3100.000000;mq;270.750000;mq;0;0;0;mq;mq;mq;mq;1;230;8.000000;0.350000;0.000000;mq;7;7;mq;2;mq;
07881;20151228072000;2590.000000;200;10.000000;275.250000;253.350000;18;36;3;0;1;0;8000;0;0;2;0.000000;mq;272.650000;mq;276.950000;0.450000;0.000000;-99;768.000000;3100.000000;mq;267.150000;mq;0;0;3;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;7;5;mq;2;mq;
07917;20151228080000;1281.000000;0;0.000000;270.550000;266.200000;72;0;0;0;0;0;mq;0;0;0;0.000000;mq;270.450000;mq;285.950000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07919;20151228075200;2130.000000;0;0.000000;277.850000;264.730000;38;0;0;0;0;0;mq;0;0;0;0.000000;mq;274.550000;mq;283.950000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07608;20151228073000;1327.000000;220;7.000000;282.150000;268.580000;38;0;0;0;3;0;8000;0;0;2;0.000000;mq;282.150000;mq;287.150000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07729;20151228070000;636.000000;0;0.000000;271.250000;269.680000;89;0;0;0;0;0;mq;0;0;0;0.000000;mq;268.950000;mq;286.850000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
