numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07489;20151028074000;970.000000;180;5.000000;284.150000;mq;mq;0;0;0;6;3;3500;0;3;2;0.000000;mq;282.150000;mq;287.150000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07729;20151028073000;636.000000;0;0.000000;279.150000;279.150000;100;0;6;0;7;3;2250;0;3;0;1.200000;278.550000;mq;295.350000;mq;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07898;20151028071500;1080.000000;0;0.000000;279.250000;mq;mq;0;6;0;3;3;mq;0;3;2;1.800000;274.350000;mq;289.850000;mq;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07962;20151028070000;680.000000;0;0.000000;282.550000;280.990000;90;0;6;0;6;6;450;5;0;0;0.500000;mq;282.450000;mq;296.350000;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07966;20151028065000;1000.000000;0;0.000000;278.750000;278.610000;99;0;6;0;2;2;3500;0;3;0;2.700000;278.750000;mq;292.750000;mq;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07975;20151028070500;1420.000000;180;2.000000;279.150000;271.970000;60;0;6;0;2;2;2250;0;3;0;1.400000;278.150000;mq;290.150000;mq;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07457;20151028063000;790.000000;0;0.000000;280.150000;mq;mq;0;6;0;3;3;mq;0;3;0;2.500000;278.650000;mq;283.650000;mq;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07893;20151028063000;1780.000000;0;0.000000;276.250000;275.230000;93;0;6;0;6;2;1250;5;0;2;0.400000;mq;275.350000;mq;284.750000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07895;20151028064500;1970.000000;0;0.000000;276.350000;274.550000;88;0;6;0;6;2;1250;0;3;2;1.400000;mq;276.150000;mq;284.650000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07590;20151028071000;1270.000000;0;0.000000;280.950000;280.350000;96;0;6;0;8;8;1750;5;/;/;9.500000;mq;279.750000;mq;287.350000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
