numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07931;20151023055000;1665.000000;90;2.000000;277.250000;269.720000;58;0;0;0;0;0;mq;0;0;0;0.000000;mq;272.250000;mq;284.950000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07933;20151023062500;1908.000000;0;0.000000;274.850000;268.770000;64;0;0;0;0;0;mq;0;0;0;0.000000;mq;270.650000;mq;289.050000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07723;20151023060000;1385.000000;0;0.000000;280.150000;279.250000;94;0;6;0;0;0;mq;0;0;0;0.500000;mq;274.550000;mq;280.550000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07954;20151023055800;1115.000000;0;0.000000;279.150000;277.480000;89;0;0;0;0;0;mq;0;0;0;0.000000;mq;274.650000;mq;282.750000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07876;20151023060000;1270.000000;0;0.000000;275.150000;268.630000;62;0;0;0;0;0;mq;0;0;0;mq;271.650000;mq;282.650000;mq;0.000000;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07457;20151023053000;790.000000;0;0.000000;275.350000;mq;mq;0;0;0;8;8;800;6;/;/;0.100000;274.750000;mq;282.650000;mq;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07590;20151023055000;1270.000000;0;0.000000;275.150000;274.580000;96;0;0;0;8;8;150;6;/;/;0.000000;mq;274.350000;mq;280.950000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07608;20151023061500;1327.000000;0;0.000000;283.150000;279.490000;78;0;6;4;0;0;mq;0;0;0;2.500000;mq;275.150000;mq;283.150000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07898;20151023061500;1080.000000;0;0.000000;273.650000;mq;mq;0;0;0;0;0;mq;0;0;0;mq;271.950000;mq;282.950000;mq;mq;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07917;20151023060000;1281.000000;0;0.000000;276.350000;274.710000;89;0;0;0;8;8;30;5;/;/;0.000000;mq;273.250000;mq;280.750000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
